epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
82,11340.1,2.40157,1.31413,0.8541,0.64089,0.4467,0.49131,0.19315,2.28886,1.20798,0.84748,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,11454,2.40327,1.30454,0.85679,0.63264,0.44828,0.49215,0.19322,2.28434,1.21257,0.84689,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,11566.6,2.40533,1.30055,0.85052,0.63847,0.44678,0.49361,0.19411,2.28269,1.20984,0.8468,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,11678.2,2.40055,1.29934,0.85026,0.64444,0.44452,0.49425,0.19328,2.28739,1.20837,0.84677,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,11794,2.39444,1.29793,0.85549,0.62993,0.45114,0.49303,0.19343,2.28555,1.20598,0.84706,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,11905.5,2.40747,1.30957,0.8503,0.63787,0.44685,0.49413,0.19381,2.28259,1.20401,0.84699,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,12018.1,2.39326,1.29041,0.85264,0.63024,0.45114,0.49391,0.19368,2.28295,1.20583,0.8463,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,12130.8,2.371,1.27874,0.85187,0.63346,0.45014,0.49477,0.19317,2.28487,1.20179,0.84648,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,12243.2,2.38797,1.28789,0.84759,0.63555,0.44864,0.49375,0.19398,2.28456,1.20371,0.84612,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,12365.2,2.36308,1.30846,0.85678,0.63248,0.44771,0.49085,0.19266,2.28923,1.2103,0.84708,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,12473.7,2.33578,1.28101,0.85491,0.62714,0.4484,0.49158,0.19209,2.28582,1.21059,0.84715,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,12582.9,2.33088,1.28202,0.84888,0.63291,0.44577,0.49152,0.19168,2.28816,1.21061,0.84699,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,12693.2,2.33741,1.27688,0.85032,0.63514,0.44405,0.49001,0.19202,2.28633,1.20991,0.84674,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,12815,2.30283,1.25584,0.85226,0.62937,0.44864,0.49181,0.19231,2.28549,1.20938,0.84661,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,12944.8,2.29503,1.25274,0.8524,0.62796,0.44942,0.49198,0.19285,2.28589,1.20952,0.84654,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,13080.9,2.30046,1.24703,0.85107,0.62898,0.44856,0.49215,0.19268,2.2852,1.20909,0.84667,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,13213.2,2.29465,1.24978,0.8525,0.63227,0.44763,0.49147,0.19246,2.28432,1.20865,0.84616,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,13351.4,2.29532,1.24735,0.85464,0.63234,0.44864,0.49288,0.19317,2.28352,1.20716,0.84583,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,13493.3,2.30014,1.25001,0.84935,0.63458,0.44792,0.49236,0.19278,2.28293,1.20784,0.84584,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
