epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,8695.88,2.49864,1.39741,0.85538,0.63909,0.45737,0.50043,0.19585,2.30183,1.20992,0.84399,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,8890.78,2.47712,1.38236,0.85725,0.64266,0.45952,0.50278,0.19729,2.29368,1.20729,0.84031,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,9084.73,2.49278,1.39379,0.85351,0.63875,0.46529,0.50486,0.19775,2.28756,1.20347,0.84104,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,9284,2.48717,1.39496,0.85655,0.64093,0.46331,0.50403,0.19854,2.28473,1.20325,0.84283,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,9476.86,2.48735,1.39513,0.85561,0.64928,0.45708,0.50073,0.1956,2.28696,1.20332,0.84016,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,9669.26,2.47488,1.37707,0.85497,0.64925,0.45715,0.50423,0.19777,2.2884,1.19833,0.84215,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,9861.9,2.4523,1.35251,0.85196,0.64435,0.46897,0.51085,0.20197,2.26911,1.19278,0.83875,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,10054.4,2.47689,1.37831,0.84982,0.65219,0.46081,0.50775,0.20109,2.28273,1.19663,0.83996,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,10247.1,2.46893,1.36542,0.8521,0.64278,0.46439,0.50869,0.20226,2.2772,1.19799,0.83986,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,10440.3,2.4356,1.34778,0.84981,0.64579,0.47054,0.51288,0.20289,2.27709,1.19142,0.83784,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,10634.4,2.43941,1.35365,0.84921,0.65502,0.45844,0.50849,0.20436,2.26657,1.18976,0.83779,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,10828.1,2.44211,1.35658,0.85163,0.66362,0.46782,0.51899,0.20779,2.25682,1.18062,0.83543,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,11021.1,2.44997,1.35307,0.84915,0.65763,0.46861,0.51774,0.20608,2.25752,1.18625,0.83482,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,11214.7,2.429,1.33707,0.84539,0.65869,0.47319,0.52084,0.20991,2.25396,1.17406,0.83408,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,11408.9,2.43209,1.33431,0.84466,0.66688,0.46591,0.51893,0.2088,2.26619,1.17259,0.83612,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,11602,2.41932,1.32723,0.84571,0.65906,0.47464,0.52172,0.21167,2.24375,1.17261,0.83158,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,11794.5,2.4252,1.32324,0.84391,0.66272,0.47312,0.52446,0.21045,2.24707,1.17103,0.83397,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,11987.1,2.42005,1.3345,0.84513,0.66488,0.47412,0.52483,0.2114,2.24419,1.16596,0.8329,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
